,State,date,AvgTemperature
0,Additional Territories,1995-01-31,25.27240143369176
1,Additional Territories,1995-02-28,25.194444444444446
2,Additional Territories,1995-03-31,24.99641577060932
3,Additional Territories,1995-04-30,26.638888888888893
4,Additional Territories,1995-05-31,27.17383512544803
5,Additional Territories,1995-06-30,28.11111111111111
6,Additional Territories,1995-07-31,28.806451612903224
7,Additional Territories,1995-08-31,28.73835125448029
8,Additional Territories,1995-09-30,28.811111111111114
9,Additional Territories,1995-10-31,27.31541218637993
10,Additional Territories,1995-11-30,26.796296296296298
11,Additional Territories,1995-12-31,26.17383512544803
12,Additional Territories,1996-01-31,25.288530465949822
13,Additional Territories,1996-02-29,25.051724137931036
14,Additional Territories,1996-03-31,25.731182795698928
15,Additional Territories,1996-04-30,25.862962962962964
16,Additional Territories,1996-05-31,-21.998207885304662
17,Additional Territories,1996-06-30,-52.6962962962963
18,Additional Territories,1996-07-31,-72.77777777777779
19,Additional Territories,1996-08-31,-72.77777777777779
20,Additional Territories,1996-09-30,27.285185185185185
21,Additional Territories,1996-10-31,-43.84767025089606
22,Additional Territories,1996-11-30,-62.966666666666676
23,Additional Territories,1996-12-31,18.127240143369175
24,Additional Territories,1997-01-31,8.629032258064516
25,Additional Territories,1997-02-28,13.505952380952381
26,Additional Territories,1997-03-31,18.107526881720432
27,Additional Territories,1997-04-30,19.50185185185185
28,Additional Territories,1997-05-31,7.636200716845878
29,Additional Territories,1997-06-30,21.331481481481482
30,Additional Territories,1997-07-31,14.85483870967742
31,Additional Territories,1997-08-31,21.23835125448029
32,Additional Territories,1997-09-30,21.401851851851852
33,Additional Territories,1997-10-31,14.668458781362007
34,Additional Territories,1997-11-30,10.112962962962962
35,Additional Territories,1997-12-31,13.53584229390681
36,Additional Territories,1998-01-31,-15.853046594982082
37,Additional Territories,1998-02-28,18.50595238095238
38,Additional Territories,1998-03-31,21.944444444444446
39,Additional Territories,1998-04-30,19.32962962962963
40,Additional Territories,1998-05-31,20.629032258064516
41,Additional Territories,1998-06-30,28.00185185185185
42,Additional Territories,1998-07-31,11.557347670250895
43,Additional Territories,1998-08-31,2.0358422939068093
44,Additional Territories,1998-09-30,17.73148148148148
45,Additional Territories,1998-10-31,5.017921146953403
46,Additional Territories,1998-11-30,3.088888888888887
47,Additional Territories,1998-12-31,6.548387096774193
48,Additional Territories,1999-01-31,15.06810035842294
49,Additional Territories,1999-02-28,9.742063492063492
50,Additional Territories,1999-03-31,15.378136200716845
51,Additional Territories,1999-04-30,2.953703703703703
52,Additional Territories,1999-05-31,14.550179211469533
53,Additional Territories,1999-06-30,17.425925925925927
